date,entry
2024-02-17,9 days until the Math exam on 2024-02-26. Gotta hit the books.
2024-02-18,8 days until the Math exam on 2024-02-26. Gotta hit the books.
2024-02-19,Got History homework today. Deadline is 2024-02-20. Better not procrastinate!
2024-02-20,Got Comp Sci homework today. Deadline is 2024-02-25. Better not procrastinate!
2024-02-21,"Nothing special happened today. Just lectures, coffee, and a bit of coding."
2024-02-22,"Nothing special happened today. Just lectures, coffee, and a bit of coding."
2024-02-23,"Nothing special happened today. Just lectures, coffee, and a bit of coding."
2024-02-24,Got Chemistry homework today. Deadline is 2024-02-26. Better not procrastinate!
2024-02-25,"Nothing special happened today. Just lectures, coffee, and a bit of coding."
2024-02-26,Called Mom today. Miss home more than I thought I would.
2024-02-27,Got Chemistry homework today. Deadline is 2024-02-29. Better not procrastinate!
2024-02-28,Started working on the History Paper project with Chris. Due by 2024-03-06.
2024-02-29,Crazy night at Alex's place with the crew. Definitely not ready for 8AM class tomorrow...
2024-03-01,Had a long walk and deep talk with Sam today. Maybe there's something more there?
2024-03-02,Got History homework today. Deadline is 2024-03-04. Better not procrastinate!
2024-03-03,"Nothing special happened today. Just lectures, coffee, and a bit of coding."
2024-03-04,Got Math homework today. Deadline is 2024-03-05. Better not procrastinate!
2024-03-05,Crazy night at dorm rooftop with the crew. Definitely not ready for 8AM class tomorrow...
2024-03-06,Had a long walk and deep talk with Chris today. Maybe there's something more there?
2024-03-07,11 days until the Comp Sci exam on 2024-03-18. Gotta hit the books.
2024-03-08,"Group assignment for Comp Sci. Teaming up with Alex, Sam, Chris. Meeting later to split the work."
2024-03-09,Got Physics homework today. Deadline is 2024-03-14. Better not procrastinate!
2024-03-10,Got Biology homework today. Deadline is 2024-03-11. Better not procrastinate!
2024-03-11,"Nothing special happened today. Just lectures, coffee, and a bit of coding."
2024-03-12,"Group assignment for Biology. Teaming up with Chris, Morgan, Alex. Meeting later to split the work."
2024-03-13,Called Dad today. Miss home more than I thought I would.
2024-03-14,Got English Lit homework today. Deadline is 2024-03-16. Better not procrastinate!
2024-03-15,Got Comp Sci homework today. Deadline is 2024-03-16. Better not procrastinate!
2024-03-16,Crazy night at Jordan's apartment with the crew. Definitely not ready for 8AM class tomorrow...
2024-03-17,"Nothing special happened today. Just lectures, coffee, and a bit of coding."
2024-03-18,"Nothing special happened today. Just lectures, coffee, and a bit of coding."
2024-03-19,Crazy night at Alex's place with the crew. Definitely not ready for 8AM class tomorrow...
2024-03-20,"Nothing special happened today. Just lectures, coffee, and a bit of coding."
2024-03-21,"Nothing special happened today. Just lectures, coffee, and a bit of coding."
2024-03-22,Started working on the App Development project with Sam. Due by 2024-04-02.
2024-03-23,3 days until the Biology exam on 2024-03-26. Gotta hit the books.
2024-03-24,Got Math homework today. Deadline is 2024-03-25. Better not procrastinate!
2024-03-25,"Nothing special happened today. Just lectures, coffee, and a bit of coding."
2024-03-26,"Nothing special happened today. Just lectures, coffee, and a bit of coding."
2024-03-27,"Nothing special happened today. Just lectures, coffee, and a bit of coding."
2024-03-28,"Nothing special happened today. Just lectures, coffee, and a bit of coding."
2024-03-29,"Group assignment for English Lit. Teaming up with Morgan, Chris, Jamie. Meeting later to split the work."
2024-03-30,Crazy night at dorm rooftop with the crew. Definitely not ready for 8AM class tomorrow...
2024-03-31,Had a long walk and deep talk with Alex today. Maybe there's something more there?
2024-04-01,"Nothing special happened today. Just lectures, coffee, and a bit of coding."
2024-04-02,2 days until the Math exam on 2024-04-04. Gotta hit the books.
2024-04-03,Crazy night at campus bar with the crew. Definitely not ready for 8AM class tomorrow...
2024-04-04,Started working on the AI Chatbot project with Alex. Due by 2024-04-24.
2024-04-05,"Nothing special happened today. Just lectures, coffee, and a bit of coding."
2024-04-06,Crazy night at dorm rooftop with the crew. Definitely not ready for 8AM class tomorrow...
2024-04-07,4 days until the Comp Sci exam on 2024-04-11. Gotta hit the books.
2024-04-08,"Nothing special happened today. Just lectures, coffee, and a bit of coding."
2024-04-09,Called Grandma today. Miss home more than I thought I would.
2024-04-10,Started working on the Environmental Study project with Sam. Due by 2024-04-29.
2024-04-11,Got Chemistry homework today. Deadline is 2024-04-15. Better not procrastinate!
2024-04-12,Got Comp Sci homework today. Deadline is 2024-04-15. Better not procrastinate!
2024-04-13,Crazy night at campus bar with the crew. Definitely not ready for 8AM class tomorrow...
2024-04-14,"Nothing special happened today. Just lectures, coffee, and a bit of coding."
2024-04-15,Crazy night at Alex's place with the crew. Definitely not ready for 8AM class tomorrow...
2024-04-16,Had a long walk and deep talk with Jordan today. Maybe there's something more there?
2024-04-17,Crazy night at Jordan's apartment with the crew. Definitely not ready for 8AM class tomorrow...
2024-04-18,Had a long walk and deep talk with Chris today. Maybe there's something more there?
2024-04-19,"Nothing special happened today. Just lectures, coffee, and a bit of coding."
